Time, Operation, Node, Description
02:36:21.189,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
02:37:23.372,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
02:37:23.373,createOrReadWAL,1,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
02:37:23.637,Start,1,Starting Raft node channel=mychannel 
02:37:23.675,start,1,Starting raft node as part of a new channel channel=mychannel 
02:37:23.675,becomeFollower,1,1 became follower at term 0 channel=mychannel 
02:37:23.675,newRaft,1,newRaft 1 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
02:37:23.675,becomeFollower,1,1 became follower at term 1 channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 7 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 8 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 9 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 10 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 11 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 12 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 13 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 14 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 15 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 16 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.839,apply,1,Applied config change to add node 17 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.840,apply,1,Applied config change to add node 18 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.840,apply,1,Applied config change to add node 19 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:23.840,apply,1,Applied config change to add node 20 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.864,Step,1,1 [logterm: 1 index: 20 vote: 0] cast MsgPreVote for d [logterm: 1 index: 20] at term 1 channel=mychannel 
02:37:24.897,Step,1,1 [term: 1] received a MsgVote message with higher term from d [term: 2] channel=mychannel 
02:37:24.898,becomeFollower,1,1 became follower at term 2 channel=mychannel 
02:37:24.898,Step,1,1 [logterm: 1 index: 20 vote: 0] cast MsgVote for d [logterm: 1 index: 20] at term 2 channel=mychannel 
02:37:24.998,run,1,raft.node: 1 elected leader d at term 2 channel=mychannel 
02:37:25.087,run,1,Raft leader changed: 0 -> 13 channel=mychannel 
02:38:01.943,writeBlock,1,Writing block [1] (Raft index: 22) to ledger channel=mychannel 
02:38:05.088,writeBlock,1,Writing block [2] (Raft index: 23) to ledger channel=mychannel 
02:39:59.411,writeBlock,1,Writing block [3] (Raft index: 24) to ledger channel=mychannel 
02:41:50.754,writeBlock,1,Writing block [4] (Raft index: 25) to ledger channel=mychannel 
02:41:55.715,writeBlock,1,Writing block [5] (Raft index: 26) to ledger channel=mychannel 
02:42:10.725,writeBlock,1,Writing block [6] (Raft index: 27) to ledger channel=mychannel 
02:50:46.257,writeBlock,1,Writing block [7] (Raft index: 28) to ledger channel=mychannel 
02:51:55.659,writeBlock,1,Writing block [8] (Raft index: 29) to ledger channel=mychannel 
02:53:14.584,writeBlock,1,Writing block [9] (Raft index: 30) to ledger channel=mychannel 
02:54:10.525,writeBlock,1,Writing block [10] (Raft index: 31) to ledger channel=mychannel 
02:55:46.259,writeBlock,1,Writing block [11] (Raft index: 32) to ledger channel=mychannel 
02:56:48.571,writeBlock,1,Writing block [12] (Raft index: 33) to ledger channel=mychannel 
02:57:48.944,writeBlock,1,Writing block [13] (Raft index: 34) to ledger channel=mychannel 
02:58:54.313,writeBlock,1,Writing block [14] (Raft index: 35) to ledger channel=mychannel 
02:59:55.253,writeBlock,1,Writing block [15] (Raft index: 36) to ledger channel=mychannel 
03:00:57.863,writeBlock,1,Writing block [16] (Raft index: 37) to ledger channel=mychannel 
02:36:45.411,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
02:37:23.407,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
02:37:23.407,createOrReadWAL,2,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
02:37:23.900,Start,2,Starting Raft node channel=mychannel 
02:37:23.933,start,2,Starting raft node as part of a new channel channel=mychannel 
02:37:23.933,becomeFollower,2,2 became follower at term 0 channel=mychannel 
02:37:23.933,newRaft,2,newRaft 2 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
02:37:23.933,becomeFollower,2,2 became follower at term 1 channel=mychannel 
02:37:24.218,apply,2,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.218,apply,2,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.218,apply,2,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.218,apply,2,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.218,apply,2,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.218,apply,2,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.218,apply,2,Applied config change to add node 7 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 8 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 9 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 10 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 11 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 12 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 13 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 14 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 15 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
02:37:24.219,apply,2,Applied config change to add node 16 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20] channel=mychannel 
